,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,dbgjerez,2023-04-18,0,0,0,1,1
1,golang-gin-gonic,2023-04-18,0,1,1,0,0
2,golang-rest-api-cassandra,2023-04-18,2,3,2,0,0
3,istio-wasm-filter-golang,2023-04-18,1,2,1,0,0
4,kotlin-ktor,2023-04-18,7,0,0,2,1
5,ml-github,2023-04-18,1,0,0,2,1
6,mqtt-golang-influxdb,2023-04-18,14,0,0,31,24
7,ocp-logging,2023-04-18,1,4,3,0,0
8,ocp-monitoring-golang,2023-04-18,1,5,3,0,0
9,quarkus-kotlin-example,2023-04-18,2,1,1,0,0
10,semantic-versioning-cli,2023-04-18,4,1,1,1,1
11,service-mesh-workshop,2023-04-18,3,0,0,1,1
12,ta,2023-04-18,3,0,0,30,21
13,terraform-ansible-aws,2023-04-18,0,0,0,4,1
14,workshop-amq-streams,2023-04-18,0,3,1,0,0
15,workshop-redhat-sso,2023-04-18,0,0,0,1,1
16,workshop-tekton-argocd,2023-04-18,0,19,6,0,0
17,workshop-tekton-argocd-app-quarkus,2023-04-18,0,2,1,0,0
18,workshop-tekton-argocd-app-quarkus-config,2023-04-18,0,2,1,0,0
19,licence-plate-workshop,2023-04-18,0,1,1,0,0
20,dstrategies-app-deployment,2023-04-18,0,22,3,0,0
21,dstrategies-back,2023-04-18,0,15,1,0,0
22,dstrategies-frontend,2023-04-18,0,7,1,0,0
