,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,golang-azure-eventhub-kafka,2023-03-04,0,0,0,1,1
1,iot-k8s-stack,2023-03-04,1,0,0,2,2
2,istio,2023-03-04,0,0,0,1,1
3,jwt,2023-03-04,1,0,0,1,1
4,kotlin-ktor,2023-03-04,7,8,1,0,0
5,kubernetes-golang-operator,2023-03-04,0,0,0,1,1
6,kubernetes-helm-operator,2023-03-04,0,0,0,1,1
7,kustomize-vs-helm,2023-03-04,4,0,0,1,1
8,ml-github,2023-03-04,1,0,0,1,1
9,ml-learning,2023-03-04,0,0,0,1,1
10,quarkus-kafka,2023-03-04,0,0,0,1,1
11,quarkus-kotlin-example,2023-03-04,2,1,1,1,1
12,REST-Services-MySQL,2023-03-04,0,0,0,1,1
13,spring-cloud-ms1,2023-03-04,0,0,0,2,2
14,spring-kotlin-crud,2023-03-04,6,0,0,1,1
15,workshop-golang-grpc,2023-03-04,0,0,0,79,54
16,redhat-workshop-deployment-strategies,2023-03-04,0,0,0,1,1
