,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,amq-streams-workshop,2023-03-05,0,0,0,1,1
1,ansible-bootstrap-workstation,2023-03-05,0,0,0,1,1
2,asciidoc-base,2023-03-05,0,0,0,1,1
3,b0rr3g0-blog,2023-03-05,0,0,0,1,1
4,cd-travis-app,2023-03-05,0,0,0,1,1
5,dbgjerez,2023-03-05,0,0,0,1,1
6,gingonic-go-mongodb,2023-03-05,0,0,0,1,1
7,golang-azure-eventhub,2023-03-05,0,0,0,1,1
8,golang-azure-eventhub-kafka,2023-03-05,0,0,0,1,1
9,golang-gin-gonic,2023-03-05,0,0,0,1,1
10,golang-rest-api-cassandra,2023-03-05,2,0,0,1,1
11,helm-spring-boot-chart,2023-03-05,1,0,0,1,1
12,ic-gradle,2023-03-05,0,0,0,1,1
13,influx-telegraf-chronograf,2023-03-05,0,0,0,2,1
14,influxdb-telegraf-grafana,2023-03-05,0,0,0,1,1
15,iot-devices-crud,2023-03-05,0,0,0,1,1
16,iot-esp8266-dht11,2023-03-05,0,0,0,1,1
17,iot-esp8266-irrigation-system,2023-03-05,0,0,0,1,1
18,iot-esp8266-relay-web-server,2023-03-05,0,0,0,1,1
19,istio-wasm-filter-golang,2023-03-05,0,0,0,1,1
20,jwt,2023-03-05,1,0,0,2,2
21,kubernetes-golang-operator,2023-03-05,0,0,0,1,1
22,library,2023-03-05,0,0,0,1,1
23,ml-github,2023-03-05,1,2,1,3,2
24,ml-learning,2023-03-05,0,0,0,1,1
25,mqtt-golang-influxdb,2023-03-05,13,1,1,1,1
26,ocp-HTPasswd-file-provider,2023-03-05,0,0,0,1,1
27,pelorus-workshop,2023-03-05,0,0,0,1,1
28,quarkus-kafka,2023-03-05,0,0,0,1,1
29,quarkus-kotlin-example,2023-03-05,2,1,1,0,0
30,service-mesh-wasm-go,2023-03-05,0,0,0,1,1
31,spring-boot-grafana,2023-03-05,0,0,0,1,1
32,spring-cloud-dataflow,2023-03-05,0,0,0,1,1
33,spring-cloud-eureka,2023-03-05,0,0,0,1,1
34,spring-cloud-ms1,2023-03-05,0,0,0,2,2
35,spring-cloud-ms2,2023-03-05,0,0,0,1,1
36,spring-data-mongodb,2023-03-05,0,0,0,1,1
37,terraform-ansible-aws,2023-03-05,0,0,0,1,1
38,uca-workshop-docker,2023-03-05,0,0,0,1,1
39,workshop-amq-streams,2023-03-05,0,0,0,1,1
40,workshop-golang-grpc,2023-03-05,0,0,0,58,39
41,workshop-uca-aws-deploy,2023-03-05,0,0,0,1,1
