,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,ansible-bootstrap-workstation,2023-09-01,0,0,0,1,1
1,influx-telegraf-chronograf,2023-09-01,0,0,0,2,1
2,kotlin-ktor,2023-09-01,8,41,2,0,0
3,ml-github,2023-09-01,1,0,0,3,3
4,ml-learning,2023-09-01,0,0,0,2,1
5,quarkus-kotlin-example,2023-09-01,2,18,1,0,0
6,spring-data-mongodb,2023-09-01,0,0,0,2,1
7,ta,2023-09-01,3,2,1,0,0
8,workshop-amq-streams,2023-09-01,0,4,1,0,0
9,workshop-argo-rollouts-resources,2023-09-01,1,0,0,2,1
10,workshop-tekton-argocd-app-quarkus,2023-09-01,0,0,0,1,1
