,name,ts,stars_count,views_total,views_uniques,clones_total,clones_uniques
0,golang-gin-gonic,2023-10-31,0,0,0,1,1
1,golang-k8s-helm-helloworld,2023-10-31,2,11,1,0,0
2,iot-air-quality,2023-10-31,1,0,0,1,1
3,kotlin-ktor,2023-10-31,8,18,1,0,0
4,kustomize-vs-helm,2023-10-31,4,1,1,0,0
5,library,2023-10-31,0,0,0,1,1
6,ml-github,2023-10-31,1,0,0,2,2
7,mqtt-golang-influxdb,2023-10-31,16,0,0,1,1
8,ocp-logging,2023-10-31,1,5,2,0,0
9,ocp-monitoring-golang,2023-10-31,1,20,2,0,0
10,spring-cloud-eureka,2023-10-31,0,0,0,2,1
11,spring-cloud-ms1,2023-10-31,0,0,0,1,1
12,spring-kotlin-crud,2023-10-31,7,0,0,1,1
13,ta,2023-10-31,3,0,0,1,1
14,workshop-cdc,2023-10-31,0,43,4,0,0
15,workshop-tekton-argocd,2023-10-31,0,60,1,0,0
